deviceModel,friendlyName
Tandem,Tandem insulin pump
HealthKit_DexG5,Dexcom G5
HealthKit_DexUnknown: com.dexcom.G6,Dexcom G6
1002717,Tandem t:slim X2
Verio Flex,OneTouch Verio Flex
FreeStyle Libre,Abbott FreeStyle Libre
HealthKit_DexG4,Dexcom G4
OneTouch Ultra 2,OneTouch Ultra 2
Verio Reflect,OneTouch Verio Reflect
AbbottFreeStyleLite,Abbott FreeStyle Lite
HealthKit_DexUnknown: com.dexcom.G6.OUS.MMOL.R01,Dexcom G6
923,Roche Accu-Chek Guide
FreeStyle LibreLink,FreeStyle Libre
897,Roche Accu-Chek Guide Me
,Unknown
Dash,Insulet Omnipod DASH
Contour Next One,Ascensia Contour Next One
Contour Next,Ascensia Contour Next
OrionReceiver,Dexcom G6
Eros,Insulet Omnipod Eros
1000354,Tandem t:slim X2
AbbottFreeStyleFreedomLite,Abbott FreeStyle Freedom Lite
1000096,Tandem t:slim X2
TRUE METRIX,Trividia True Metrix
HealthKit_DexUnknown,Dexcom
Verio,OneTouch Verio
Glucose Direct,Unknown
OmniPod,Insulet Omnipod
1712,Medtronic 640G
1780,Medtronic 670G
Contour Next EZ,Ascensia Contour Next EZ
OneTouch UltraMini,OneTouch UltraMini
VerioIQ,OneTouch Verio IQ
TRUE METRIX AIR,Trividia True Metrix Air
Precision/Optium Neo,Abbott Precision/Optum Neo
HealthKit_DexUnknown: com.dexcom.G6.OUS.MMOL.R03,Dexcom G6
930,Accu-Chek Guide
HealthKit_DexUnknown: com.dexcom.G6.OUS.MGDL.R03,Dexcom G6
G5MobileReceiver,Dexcom G5
1711,Medtronic 640G
FreeStyle Libre 2,Abbott FreeStyle Libre 2
ReliOnPremier,Arkray ReliOn Premier
1715,Medtronic 630G
G4Receiver,Dexcom G4
GlucocardExpression,Arkray Glucocard Expression
GT-1050,Arkray Glucocard Vital
HealthKit_DexUnknown: com.8ZWMLSD6JG.loopkit.Loop,Dexcom
1782,Medtroinc 670G
G4ShareReceiver,Dexcom G4
Contour Next Link 2.4,Ascensia Contour Next Link 2.4
Unknown Bayer model,Unknown Bayer model
Contour Next Link,Ascensia Contour Next Link
723,Medtronic Paradigm 723
982,ReliOn Platinum
1781,Medtronic 670G
Contour,Ascensia Contour
751,Medtronic 530G
Contour Plus One,Ascensia Contour Plus One
TRUE METRIX GO,Trividia True Metrix Go
FreeStyle Libre 3,Abbott FreeStyle Libre 3
GlucocardShine,Arkray Glucocard Shine
HealthKit_DexUnknown: com.dexcom.G6.OUS.MGDL.R02,Dexcom G6
5448003,Tandem t:slim
IR1285,Animas
Contour Next USB,Ascensia Contour Next
MiniMed 530G 751,Medtronic 530G
925,Accu-Chek Guide
4628,Tandem t:slim
HealthKit_DexUnknown: com.dexcom.G6.OUS.MMOL.R04,Dexcom G6
Precision Xtra,Abbott Precision Xtra
5448,Unknown
G6 Native,Dexcom G6
IR1295,Animas
HealthKit_DexUnknown: org.tidepool.BGMTool,Dexcom
MiniMed 530G 551,Medtronic 530G
754,Medtronic Paradigm Veo 754
HealthKit_DexUnknown: com.dexcominc.G6,Dexcom G6
Contour Plus,Ascensia Contour Plus
502,Accu-Chek Aviva Connect
551,Bayer Contour Next
multiple,Unknown
973,Accu-Chek Instant
Paradigm Revel 723,Medtronic Paradigm 723
4628003,Tandem t:slim G4
1714,Medtronic 630G
Paradigm Revel 523,Medtronic Paradigm 523
523,Medtronic Paradigm 523
TNG VOICE,ForaCare TN'G Voice
972,Accu-Chek Instant
FreeStyle Lite,Abbott FreeStyle Lite
CareSens,CareSens
HealthKit_Unknown,Unknown
1730,Unknown
904,Accu-Chek Guide Me
Tomato,Unknown
ScoutReceiver,Dexcom G5
554,Bayer Contour Next Link
Other App,Unkown
929,Accu-Chek Guide
G5Mobile,Dexcom G5
Ultra Plus Flex,OneTouch Ultra Plus Flex
5448001,Unknown
JNGZ162,Unknown
Contour Plus Blue,Ascensia Contour Plus Blue
5448005,Unknown
932,Accu-Chek Guide
DexcomG5,Dexcom G5
4628005,Tandem t:slim G4
499,Accu-Chek Aviva Connect
Follower,Unknown
5448004,Unknown
LimiTTer,Unknown
equil,MicroTech Equil Patch Insulin Pump
Contour USB,Ascensia Contour
498,Accu-Chek Aviva Connect
Select Plus Flex,OneTouch Select Plus Flex
1001357,
weitaiupload,MicroTech Equil Patch Insulin Pump
Nightscout,Unknown
10037177,Unknown
Share,Unknown
g6,Dexcom G6
921,Accu-Chek Guide
FreeStyle Precision Xtra,Abbott FreeStyle Precision Xtra
LibreLink,Abbott FreeStyle Libre
G7,Dexcom G7
LibreAlarm,Abbott FreeStyle Libre
4628004,Tandem t:slim G4
1000110,Unknown
Bubble,Unknown
OneTouch Select Plus,OneTouch Select Plus
979,Accu-Chek Instant
CareLink,Medtronic CareLink
FreeStyle Libre 3,Abbott FreeStyle Libre 3
G5 Native,Dexcom G5
Paradigm Veo 754,Medtronic Paradigm Veo 754
Tidepool Test Pump,Tidepool Loop
UI Based,Unknown
Paradigm Veo 554,Medtronic Paradigm Veo 554
Equil,MicroTech Equil Patch Insulin Pump
FreeStyle Optium/Precision Neo,Abbott FreeStyle Optium/Precision Neo
